,marca,preço,link
1103,Fonte Carregador P/ Acer Aspire E15 E5-571-376t 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/221585/fonte-carregador-p-acer-aspire-e15-e5-571-376t-19v-65w-479-voltagem-de-entrada
2341,Fonte Carregador Para Acer /  Gateway M305crv 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271603/fonte-carregador-para-acer-gateway-m305crv-19v-3-42a-65w-479-voltagem-de-entrada
1279,Fonte Carregador Compativel Com Samsung Essentials E34 19v 3.16a 65w 500,78.99,https://www.kabum.com.br//produto/296293/fonte-carregador-compativel-com-samsung-essentials-e34-19v-3-16a-65w-500
1288,Fonte Carregador Acer Aspire E5-573-59-lb 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271512/fonte-carregador-acer-aspire-e5-573-59-lb-19v-3-42a-65w-479-voltagem-de-entrada
1019,Fonte Carregador Para Acer Aspire P5we6 - Pew71 - Pew76 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271539/fonte-carregador-para-acer-aspire-p5we6-pew71-pew76-479-voltagem-de-entrada
1300,"Fonte Carregador Para Acer Gateway M-6750 19v 3,42 65w 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/239328/fonte-carregador-para-acer-gateway-m-6750-19v-3-42-65w-479-voltagem-de-entrada
1311,"Fonte Carregador Para Acer Aspire Es1-533-c76f 19v 3,42a 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/221505/fonte-carregador-para-acer-aspire-es1-533-c76f-19v-3-42a-479-voltagem-de-entrada
1301,Fonte Carregador Para Acer Travelmate 2480 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250406/fonte-carregador-para-acer-travelmate-2480-19v-3-42a-65w-479-voltagem-de-entrada
1303,Fonte Carregador Para Notebook Acer As1410 19v 3.42a 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271623/fonte-carregador-para-notebook-acer-as1410-19v-3-42a-479-voltagem-de-entrada
1304,Fonte Carregador Para Acer Aspire E5-571-376p 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271513/fonte-carregador-para-acer-aspire-e5-571-376p-19v-65w-479-voltagem-de-entrada
1305,"Fonte Carregador Para Acer Aspire F5-573g-50ks 19v 3,42a 479 - 110v/220v (bivolt)",78.99,https://www.kabum.com.br//produto/313623/fonte-carregador-para-acer-aspire-f5-573g-50ks-19v-3-42a-479-110v-220v-bivolt-
1306,Fonte Carregador Para Acer Aspie E15 E5-575-5157 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250408/fonte-carregador-para-acer-aspie-e15-e5-575-5157-19v-65w-479-voltagem-de-entrada
1307,Fonte Carregador P/ Acer Aspire F15 F5-573-59tv 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271403/fonte-carregador-p-acer-aspire-f15-f5-573-59tv-19v-65w-479-voltagem-de-entrada
